sfperiod;sympersf;nharqproc;txpower;pacotes;delay;throughput
75;16;5;5;271,9681597;1,835406846;10,02093992
75;16;5;10;260,8749311;1,271226271;9,573366604
75;16;5;15;296,9103673;1,456651633;9,637458823
75;16;5;20;281,5369697;1,348794325;9,636919147
75;16;5;25;296,3758328;1,136484837;9,444338919
75;16;5;30;255,8890631;1,44466916;9,717170138
75;16;5;35;255,0718319;1,878311903;9,153713533
75;16;5;40;292,8050746;1,063369858;9,218829958
75;16;5;45;262,0953274;1,951709639;9,398723769
75;16;5;50;258,55258;1,521771147;9,579762944
75;16;20;5;275,0346385;1,332851341;9,886420899
75;16;20;10;284,7741329;1,817777211;9,294386572
75;16;20;15;268,5957726;1,889284712;9,395204058
75;16;20;20;261,291566;1,708442615;9,326844833
75;16;20;25;269,738214;1,925662095;9,223403242
75;16;20;30;283,4408693;1,882324586;9,110347297
75;16;20;35;269,2111825;1,650622291;9,271222805
75;16;20;40;258,2466198;1,78551915;9,692557344
75;16;20;45;263,0774553;1,677015611;9,158118239
75;16;20;50;299,834142;1,640306886;9,4580232
75;16;35;5;278,1384411;1,398528512;9,289341885
75;16;35;10;270,8722364;2,003540534;9,473861662
75;16;35;15;263,7423477;1,781521902;9,984741595
75;16;35;20;282,1831628;1,535026193;9,37042372
75;16;35;25;272,2435253;1,799172258;9,572819704
75;16;35;30;272,5147405;1,988245504;9,141021171
75;16;35;35;257,5543036;1,427648427;9,884172204
75;16;35;40;269,8835539;1,605140538;10,02849899
75;16;35;45;274,8720294;1,60299906;9,639553665
75;16;35;50;204,1803895;1,330683838;10,18863784
75;24;5;5;125,0858096;1,281876103;10,75395612
75;24;5;10;140,6385414;1,672188935;10,55496019
75;24;5;15;111,4914344;1,971447038;10,08200878
75;24;5;20;136,437379;1,63231045;10,87845407
75;24;5;25;124,5972415;1,124462138;10,69560454
75;24;5;30;100,7899867;1,357602913;10,29973321
75;24;5;35;135,2221357;1,937902346;10,50545462
75;24;5;40;140,0442938;1,985418873;10,59253436
75;24;5;45;136,319656;2,035746872;10,11918176
75;24;5;50;121,0793922;1,149450178;10,20626343
75;24;20;5;149,6434116;1,564141287;10,10911575
75;24;20;10;142,649238;1,878359235;10,04951864
75;24;20;15;146,5492349;1,470871128;10,41498586
75;24;20;20;105,423047;1,482253355;10,42832012
75;24;20;25;103,7995697;1,423606851;10,99300951
75;24;20;30;125,1566603;1,632513988;10,05067876
75;24;20;35;103,4016989;1,552912811;10,76860006
75;24;20;40;120,3213372;1,501178598;10,37724935
75;24;20;45;108,1502951;1,282156284;10,32085494
75;24;20;50;149,5210049;1,23357807;10,68716845
75;24;35;5;107,6434112;1,95720592;11,03129539
75;24;35;10;119,4822907;1,96250042;10,43948503
75;24;35;15;147,7663574;1,343978014;10,69192332
75;24;35;20;132,0265717;1,747435109;10,83764679
75;24;35;25;130,6836897;1,983706883;10,89157073
75;24;35;30;142,8566313;1,556419604;10,76097506
75;24;35;35;131,1770251;1,316743438;10,34029521
75;24;35;40;127,5646354;1,419740767;10,57783805
75;24;35;45;138,6819057;1,54110103;10,17095765
75;24;35;50;206,0233682;1,533028039;10,6154466
75;32;5;5;144,7802299;1,986669715;10,08528245
75;32;5;10;101,6337498;1,352460305;9,900016864
75;32;5;15;109,7226639;1,257491542;9,328900149
75;32;5;20;119,3156929;1,898361127;9,656818623
75;32;5;25;114,5224879;1,828373433;9,174622264
75;32;5;30;118,2244131;1,908995671;9,215107244
75;32;5;35;148,0218095;1,518467521;9,953723925
75;32;5;40;119,4526337;1,473470479;9,734801651
75;32;5;45;138,3043351;1,525851465;9,540490857
75;32;5;50;116,5435771;1,947160138;9,866266347
75;32;20;5;132,0674674;1,977828181;10,35876328
75;32;20;10;137,8415303;1,758385834;9,940618432
75;32;20;15;101,1098737;1,959860894;9,082718765
75;32;20;20;102,6175644;1,414510042;9,874884673
75;32;20;25;133,0398431;2,008812109;10,03768713
75;32;20;30;142,8596473;1,591903372;9,718468678
75;32;20;35;137,1012718;1,084678923;9,152412762
75;32;20;40;122,6003383;1,133233477;10,04594035
75;32;20;45;103,3376059;1,606138785;9,26652556
75;32;20;50;141,3453706;1,719863591;10,20814665
75;32;35;5;129,5228352;1,160523791;10,47856911
75;32;35;10;145,9754904;1,299619159;9,948069379
75;32;35;15;118,5005977;1,609546946;9,791399004
75;32;35;20;131,4324969;1,631652996;9,346446934
75;32;35;25;123,23173;1,851113936;9,38060538
75;32;35;30;126,4008654;1,847588074;9,780456288
75;32;35;35;148,944511;1,485412181;9,75750196
75;32;35;40;118,5505787;2,003968228;9,333852623
75;32;35;45;123,7711841;1,933470172;9,4701347
75;32;35;50;197,9914662;1,788065515;9,411091897
75;40;5;5;148,6740501;1,093757477;10,78618773
75;40;5;10;100,8994385;1,346964071;9,59031273
75;40;5;15;139,0807446;1,764666514;9,349027282
75;40;5;20;136,8987785;1,639793998;9,213459256
75;40;5;25;122,6537442;1,527137698;9,168038927
75;40;5;30;148,8189996;2,032757991;9,96330367
75;40;5;35;130,0190118;1,83554211;9,467031748
75;40;5;40;140,9145346;1,087170237;9,917673539
75;40;5;45;124,8529803;1,831479106;9,635111956
75;40;5;50;101,3966222;1,113940741;10,1304042
75;40;20;5;126,1354549;1,062688241;10,90671019
75;40;20;10;125,4132664;1,936714145;9,957420907
75;40;20;15;147,2510321;1,832610806;10,02692859
75;40;20;20;149,7553049;1,344886298;9,558305889
75;40;20;25;113,8687675;1,146181281;10,01452617
75;40;20;30;131,2937064;1,860561951;9,42401904
75;40;20;35;117,2494911;1,740322236;9,640421631
75;40;20;40;135,2676705;1,492337743;9,99696155
75;40;20;45;105,401749;1,805565668;9,345791899
75;40;20;50;123,0786122;1,43938782;10,42960551
75;40;35;5;111,9585302;1,108296209;11,02418148
75;40;35;10;122,7444903;1,541441645;9,920341443
75;40;35;15;116,038188;2,028804855;10,04576849
75;40;35;20;129,149102;1,789608002;9,173005196
75;40;35;25;117,441323;1,857925616;9,820904167
75;40;35;30;129,8526142;1,357656816;9,444110704
75;40;35;35;145,8225035;1,414096822;9,491234855
75;40;35;40;140,8600795;1,596369521;10,01227742
75;40;35;45;112,3558755;1,172354219;9,083654537
75;40;35;50;185,5947333;1,413049192;9,330826406
100;16;5;5;201,8208223;1,386671304;9,540582385
100;16;5;10;204,3613157;1,555695388;9,570776332
100;16;5;15;216,9270833;1,556036925;9,752090835
100;16;5;20;236,6597493;1,473836042;9,44738237
100;16;5;25;232,6058172;1,348199829;9,105093956
100;16;5;30;238,8151933;2,072602961;9,202180252
100;16;5;35;210,8508104;1,975175793;9,585492978
100;16;5;40;227,0317046;2,047573167;9,637211571
100;16;5;45;242,6927036;2,146316891;9,260604794
100;16;5;50;227,9130466;1,720824092;9,861930276
100;16;20;5;230,8692631;2,021745839;9,729858732
100;16;20;10;200,0323868;1,797147735;9,215128097
100;16;20;15;240,7625459;2,043206089;10,06830561
100;16;20;20;248,0073837;2,173108255;9,808121246
100;16;20;25;232,674654;1,859697444;9,506743248
100;16;20;30;233,8142715;2,085737723;9,866944544
100;16;20;35;207,0453501;1,569694586;9,205826201
100;16;20;40;248,9034272;1,395765151;10,05261261
100;16;20;45;216,5293616;1,251720047;9,996932588
100;16;20;50;216,4188421;1,762308529;9,513396712
100;16;35;5;207,6332496;1,594624019;9,966185308
100;16;35;10;224,422674;1,725013307;9,949748927
100;16;35;15;245,3405462;1,835873498;9,863984129
100;16;35;20;212,5093113;1,243687154;9,669314542
100;16;35;25;225,2243446;1,4046867;9,855500419
100;16;35;30;226,9743566;2,058779209;9,869794524
100;16;35;35;215,4928336;1,3706084;9,673988343
100;16;35;40;218,8295976;1,749312293;9,338847536
100;16;35;45;227,2436889;1,456135071;10,05239579
100;16;35;50;158,3707882;1,609716671;10,30260537
100;24;5;5;97,52855953;1,190454869;11,00268064
100;24;5;10;86,03541241;1,380518475;10,72157574
100;24;5;15;53,4573824;1,56191113;10,78823509
100;24;5;20;59,43950579;1,354838407;10,59258885
100;24;5;25;81,98661322;1,037772003;10,60396683
100;24;5;30;98,68631828;0,988860002;10,9983623
100;24;5;35;77,08788378;1,225262321;10,75990214
100;24;5;40;72,41623462;0,94545302;10,60944505
100;24;5;45;56,32751123;1,71803889;10,56863654
100;24;5;50;73,13202674;1,377159214;10,32964254
100;24;20;5;86,17287561;1,237508368;10,83771045
100;24;20;10;64,42918193;1,175710469;11,00116275
100;24;20;15;76,80616467;0,885265988;10,62414762
100;24;20;20;75,26307431;1,692846651;10,95320395
100;24;20;25;63,45032415;1,156789876;10,21394217
100;24;20;30;72,32122934;1,576528237;10,33194709
100;24;20;35;93,92920681;1,319630204;10,70772804
100;24;20;40;90,99875368;1,747036361;10,94221925
100;24;20;45;90,29652581;1,648298793;10,37105753
100;24;20;50;95,27585942;1,731737077;10,26442773
100;24;35;5;72,69941655;1,588688976;10,94952601
100;24;35;10;53,32602012;1,753054075;10,58642374
100;24;35;15;93,34406424;1,079611639;10,87820541
100;24;35;20;56,57412763;0,843698794;10,15984483
100;24;35;25;82,54166197;1,347347697;10,70447314
100;24;35;30;95,80704351;1,529640023;10,13942456
100;24;35;35;89,49064829;1,765976491;10,47457071
100;24;35;40;86,66103479;1,680141313;10,06435783
100;24;35;45;54,73365779;0,891100068;10,93078297
100;24;35;50;123,7637525;1,267119059;10,14611114
100;32;5;5;87,39439009;1,74688289;10,9122781
100;32;5;10;57,70741514;1,380679503;10,52233486
100;32;5;15;60,14743024;1,555610206;10,51012443
100;32;5;20;71,81587516;1,373442663;10,87602579
100;32;5;25;53,72297646;0,918627741;10,39939345
100;32;5;30;50,09191267;1,020199512;10,57923525
100;32;5;35;84,98637895;0,969025618;10,5143716
100;32;5;40;79,11185087;0,864210242;10,31393685
100;32;5;45;56,84577784;1,124819122;10,84898096
100;32;5;50;92,7132826;0,950742088;10,2763351
100;32;20;5;87,18824796;0,991846827;10,78412437
100;32;20;10;73,06822778;1,257076759;10,98577146
100;32;20;15;60,61655836;1,521301175;10,47997938
100;32;20;20;96,29587339;0,83569553;10,4151821
100;32;20;25;71,44054227;1,085837694;10,20886914
100;32;20;30;68,63761441;1,707875063;10,85477404
100;32;20;35;58,61922148;1,563141421;10,96364706
100;32;20;40;86,82474668;1,002300718;10,60953758
100;32;20;45;94,89883581;1,103361997;10,22400967
100;32;20;50;79,68314471;1,131557732;10,28557917
100;32;35;5;68,68384214;1,653148066;10,95116768
100;32;35;10;64,61273301;1,696649765;10,57922375
100;32;35;15;76,11058593;1,788340165;10,7299879
100;32;35;20;81,29381352;1,161407646;10,58784124
100;32;35;25;95,79823728;1,343440709;10,92257975
100;32;35;30;68,57609618;1,639460356;10,40044579
100;32;35;35;50,8814741;1,209792791;10,43320664
100;32;35;40;97,02857598;1,647262105;10,96794206
100;32;35;45;76,24647417;1,324255407;10,91277391
100;32;35;50;122,0631761;1,462393874;10,02215399
100;40;5;5;54,58698618;1,08034026;10,31774522
100;40;5;10;67,25775299;1,004156877;10,63097941
100;40;5;15;54,59246039;1,632313611;10,69487762
100;40;5;20;82,3608317;1,233839843;10,40114147
100;40;5;25;95,43929561;1,748696471;10,43431193
100;40;5;30;93,58079847;1,094979353;10,49872705
100;40;5;35;94,06130046;1,701417809;10,8988432
100;40;5;40;83,37441378;1,609765494;10,67587696
100;40;5;45;96,62295952;1,729986815;10,57066849
100;40;5;50;80,15763053;1,689742771;10,64099481
100;40;20;5;79,04783607;0,95111621;10,55798287
100;40;20;10;93,22821679;1,18080901;10,57044166
100;40;20;15;81,84142602;1,09231077;10,25566786
100;40;20;20;77,8885699;0,845094851;10,08270976
100;40;20;25;56,81676102;1,662423623;10,79428826
100;40;20;30;69,53195425;0,949727323;10,09541329
100;40;20;35;93,78842064;1,62960298;10,24932108
100;40;20;40;85,2988135;0,933230968;10,32857205
100;40;20;45;92,04123998;1,294590087;10,64483871
100;40;20;50;82,88803143;1,16646342;10,68707825
100;40;35;5;65,27544471;1,559594499;10,90950223
100;40;35;10;77,88057486;0,889548996;10,34929021
100;40;35;15;76,65747319;1,320643482;10,81844873
100;40;35;20;74,59222896;1,644332083;10,14605705
100;40;35;25;65,13771882;1,823596228;10,28061726
100;40;35;30;55,28194061;1,113151801;10,97042863
100;40;35;35;76,63816511;0,918703419;10,40252666
100;40;35;40;51,96803257;0,856296345;10,32653668
100;40;35;45;62,97626491;1,727795025;10,78105197
100;40;35;50;137,291499;1,335287067;9,975529399
150;16;5;5;242,4396424;1,54136451;9,132181543
150;16;5;10;246,5709423;1,473015138;9,331940888
150;16;5;15;243,4718041;1,616345028;9,927624221
150;16;5;20;244,3471891;1,469259256;9,409766359
150;16;5;25;227,3434904;1,788742693;9,087720023
150;16;5;30;235,1837523;1,623385467;9,214044405
150;16;5;35;216,5198059;1,954626441;9,952397734
150;16;5;40;238,8992219;1,360926433;9,169189018
150;16;5;45;242,3294037;1,352839806;9,991715824
150;16;5;50;224,6943386;1,150700762;10,07521593
150;16;20;5;248,8450388;1,628366978;9,249898365
150;16;20;10;226,8274903;1,725034992;9,191004408
150;16;20;15;225,9984862;1,392709328;9,799023278
150;16;20;20;241,2881102;1,431672216;9,647813282
150;16;20;25;226,6359708;1,591211398;9,315878503
150;16;20;30;221,9760879;2,043077164;9,405576322
150;16;20;35;245,2754714;1,515985319;10,02604867
150;16;20;40;217,7360417;1,389228589;9,288588536
150;16;20;45;240,5619514;1,335898533;9,83484824
150;16;20;50;234,2696754;1,793599646;9,508452842
150;16;35;5;226,3676427;2,060410308;9,103771572
150;16;35;10;206,2536195;1,983474006;9,800314659
150;16;35;15;234,8446412;1,595180591;9,648662381
150;16;35;20;244,6946071;2,049553525;9,431564332
150;16;35;25;213,0169656;1,38348209;9,626588839
150;16;35;30;221,3113199;2,063382616;9,241776913
150;16;35;35;248,1967879;1,26351806;9,994582518
150;16;35;40;225,4740629;1,488564477;9,952509349
150;16;35;45;230,4503611;1,835894078;10,02501528
150;16;35;50;159,3538256;1,503668788;9,58016083
150;24;5;5;97,07914495;1,798069509;10,53405142
150;24;5;10;54,78273227;0,978355738;10,84118511
150;24;5;15;99,81609803;1,237553442;10,99542393
150;24;5;20;97,28180026;1,692171319;10,60529908
150;24;5;25;50,47356072;1,198979679;10,89174767
150;24;5;30;60,32007869;1,686477081;10,77369484
150;24;5;35;90,99977725;1,452457173;10,11212116
150;24;5;40;69,57235599;1,104723682;11,02550338
150;24;5;45;82,11508908;0,988844892;10,91898856
150;24;5;50;87,13333381;1,684966791;10,3950517
150;24;20;5;57,5211021;1,14210161;10,05149508
150;24;20;10;95,04065878;1,598168868;10,33267714
150;24;20;15;96,77131131;1,542322506;10,5730444
150;24;20;20;58,03872994;1,32567166;10,58014802
150;24;20;25;65,30034874;1,45964735;10,40194484
150;24;20;30;54,40270175;1,571147684;10,12891024
150;24;20;35;53,88902262;1,749948664;10,38889018
150;24;20;40;61,83634686;1,116671942;10,45892541
150;24;20;45;82,8285038;1,343270478;10,9831628
150;24;20;50;53,66213261;0,909841525;10,53233643
150;24;35;5;92,07524745;1,358614041;10,05356118
150;24;35;10;77,31315889;1,093249302;11,02888486
150;24;35;15;52,03998596;1,023999065;10,42020684
150;24;35;20;70,00326657;1,457608259;10,81079177
150;24;35;25;52,48119781;0,832297442;10,76239023
150;24;35;30;50,32654684;1,28519385;10,97196623
150;24;35;35;64,73483818;1,581815628;10,43836087
150;24;35;40;71,15539648;1,561397777;10,81164104
150;24;35;45;95,65224084;0,871169108;11,02591258
150;24;35;50;65,33515745;1,143424587;10,08549831
150;32;5;5;94,56482646;0,55463597;10,14317359
150;32;5;10;215,321329;0,616890885;9,78876813
150;32;5;15;238,284488;1,019618532;9,391572794
150;32;5;20;200,2590167;0,982039114;9,146133151
150;32;5;25;228,4848536;1,220608555;9,466345923
150;32;5;30;220,6627839;1,143242457;9,252264091
150;32;5;35;219,9550188;1,172537445;9,164597219
150;32;5;40;232,4247068;0,786642343;9,507802213
150;32;5;45;204,7010387;1,247789247;9,1969984
150;32;5;50;132,3658218;1,131620375;10,21819603
150;32;20;5;59,27098697;1,205520127;10,99135308
150;32;20;10;229,9047664;1,260123899;9,713359546
150;32;20;15;212,0422834;0,48624965;9,139195589
